"ENTREZID","SYMBOL"
"5745","PTH1R"
"101928405","LINC02023"
"646962","HRCT1"
"5630","PRPH"
"23491","CES3"
"8708","B3GALT1"
"2788","GNG7"
"57556","SEMA6A"
"1908","EDN3"
"9745","ZNF536"
"53841","CDHR5"
"27284","SULT1B1"
"79908","BTNL8"
"80168","MOGAT2"
"3291","HSD11B2"
"92291","CAPN13"
"388595","TMEM82"
"54738","FEV"
"23584","VSIG2"
"646627","LYPD8"
"254439","C11orf86"
"63924","CIDEC"
"284948","SH2D6"
"79148","MMP28"
"54831","BEST2"
"3957","LGALS2"
"4493","MT1E"
"80726","IQCN"
"10317","B3GALT5"
"124872","B4GALNT2"
"6817","SULT1A1"
"4058","LTK"
"51196","PLCE1"
"5284","PIGR"
"140738","TMEM37"
"6352","CCL5"
"375704","ENHO"
"10917","BTNL3"
"9912","ARHGAP44"
"7732","RNF112"
"1152","CKB"
"23052","ENDOD1"
"79849","NHERF4"
"219348","PLAC9"
"114131","UCN3"
"10022","INSL5"
"100506542","LINC01082"
"23140","ZZEF1"
"3294","HSD17B2"
"1776","DNASE1L3"
"654346","LGALS9C"
"253012","HEPACAM2"
"51567","TDP2"
"23563","CHST5"
"197257","LDHD"
"9963","SLC23A1"
"388335","TMEM220"
"2169","FABP2"
"201501","ZBTB7C"
"1521","CTSW"
"7008","TEF"
"340024","SLC6A19"
"401022","HAGLR"
"101101775","TMEM220-AS1"
"10891","PPARGC1A"
"5023","P2RX1"
"35","ACADS"
"9290","GPR55"
"1101","CHAD"
"10110","SGK2"
"22802","CLCA4"
"9834","FAM30A"
"23228","PLCL2"
"134285","TMEM171"
"3624","INHBA"
"4316","MMP7"
"1001","CDH3"
"1469","CST1"
"57214","CEMIP"
"57761","TRIB3"
"115908","CTHRC1"
"4314","MMP3"
"2118","ETV4"
"4237","MFAP2"
"4320","MMP11"
"3730","ANOS1"
"9075","CLDN2"
"4312","MMP1"
"221416","LINC03040"
"1116","CHI3L1"
"23650","TRIM29"
"1277","COL1A1"
"100127888","SLCO4A1-AS1"
"9076","CLDN1"
"27132","CPNE7"
"28231","SLCO4A1"
"81792","ADAMTS12"
"2191","FAP"
"57464","STRIP2"
"7804","LRP8"
"57167","SALL4"
"94234","FOXQ1"
"4188","MDFI"
"84733","CBX2"
"64063","PRSS22"
"9319","TRIP13"
"8614","STC2"
"54498","SMOX"
"2906","GRIN2D"
"5328","PLAU"
"24147","FJX1"
"54997","TESC"
"8862","APLN"
"6373","CXCL11"
"80131","LRRC8E"
"10630","PDPN"
"145741","C2CD4A"
"25984","KRT23"
"1303","COL12A1"
"84962","AJUBA"
"54443","ANLN"
"51330","TNFRSF12A"
"8038","ADAM12"
"1295","COL8A1"
"414236","C10orf55"
"2069","EREG"
"23657","SLC7A11"
"8840","CCN4"
"101929705","SCIRT"
"6581","SLC22A3"
"2921","CXCL3"
"144501","KRT80"
"64220","STRA6"
"7045","TGFBI"
"2919","CXCL1"
"1846","DUSP4"
"120071","LARGE2"
"11065","UBE2C"
"8140","SLC7A5"
"85409","NKD2"
"23213","SULF1"
"7058","THBS2"
"55083","KIF26B"
"56938","BMAL2"
"6424","SFRP4"
"100170841","EPOP"
"255738","PCSK9"
"1894","ECT2"
"366","AQP9"
"22822","PHLDA1"
"1282","COL4A1"
"60681","FKBP10"
"3651","PDX1"
"25907","TMEM158"
"23594","ORC6"
"4017","LOXL2"
"29128","UHRF1"
"221150","SKA3"
"83540","NUF2"
"7291","TWIST1"
"6696","SPP1"
"2920","CXCL2"
"4070","TACSTD2"
"1800","DPEP1"
"10309","CCNO"
"29968","PSAT1"
"5054","SERPINE1"
"7038","TG"
"6713","SQLE"
"83959","SLC4A11"
"9569","GTF2IRD1"
"6781","STC1"
"79801","SHCBP1"
"29923","HILPDA"
"25902","MTHFD1L"
"6615","SNAI1"
"5366","PMAIP1"
"6533","SLC6A6"
"79075","DSCC1"
"3855","KRT7"
"11072","DUSP14"
"9762","LZTS3"
"57181","SLC39A10"
"8767","RIPK2"
"871","SERPINH1"
"768","CA9"
"23250","ATP11A"
"26586","CKAP2"
"79007","DBNDD1"
"6004","RGS16"
"8061","FOSL1"
"57460","PPM1H"
"10953","TOMM34"
"346389","MACC1"
"1594","CYP27B1"
"430","ASCL2"
"79628","SH3TC2"
"138065","RNF183"
"57670","KIAA1549"
"11178","LZTS1"
"9603","NFE2L3"
"563","AZGP1"
"283120","H19"
"7130","TNFAIP6"
"9456","HOMER1"
"10799","RPP40"
"54517","PUS7"
"27143","PALD1"
"6319","SCD"
"1503","CTPS1"
"10410","IFITM3"
"79989","IFT56"
"11174","ADAMTS6"
"1951","CELSR3"
"5462","POU5F1B"
"4609","MYC"
"10808","HSPH1"
"143458","LDLRAD3"
"5317","PKP1"
"8519","IFITM1"
"440145","MZT1"
"84319","CMSS1"
"56902","PNO1"
"25879","DCAF13"
"84955","NUDCD1"
"6997","CRIPTO"
"4233","MET"
"5723","PSPH"
"2828","GPR4"
